V_bias/mV,Current,Temperature
2200,6.469762000000001e-13,900.0
2300,6.805457000000001e-13,900.0
2400,7.217445000000001e-13,900.0
2500,7.431068e-13,900.0
2600,7.339517e-13,900.0
2700,7.644691000000001e-13,900.0
2800,7.804907999999999e-13,900.0
2900,8.163489e-13,900.0
3000,8.468666e-13,900.0
3100,8.575477000000001e-13,900.0
3200,9.010353000000002e-13,900.0
3300,9.208715000000002e-13,900.0
3400,9.399452e-13,900.0
3500,9.498634e-13,900.0
3600,9.780944e-13,900.0
3700,9.979328e-13,900.0
3800,1.0154824e-12,900.0
3900,1.0505730000000002e-12,900.0
4000,1.145943e-12,900.0
4100,1.067357e-12,900.0
4200,1.094062e-12,900.0
4300,1.117715e-12,900.0
4400,1.145946e-12,900.0
4500,1.146708e-12,900.0
4600,1.1787460000000001e-12,900.0
4700,1.182563e-12,900.0
4800,1.2161320000000001e-12,900.0
4900,1.248178e-12,900.0
5000,1.265727e-12,900.0
-5000,-1.220404e-11,950.0
-4900,-1.2109436e-11,950.0
-4800,-1.2107910000000001e-11,950.0
-4700,-1.2327632e-11,950.0
-4600,-1.2179626000000002e-11,950.0
-4500,-1.1723379999999999e-11,950.0
-4400,-1.1589110000000002e-11,950.0
-4300,-1.1425846e-11,950.0
-4200,-1.1351074000000001e-11,950.0
-4100,-1.1212218e-11,950.0
-4000,-1.1042842e-11,950.0
-3900,-1.0914670000000002e-11,950.0
-3800,-1.0824644e-11,950.0
-3700,-1.0684264000000001e-11,950.0
-3600,-1.0472162000000001e-11,950.0
-3500,-1.0311948000000001e-11,950.0
-3400,-1.0191406e-11,950.0
-3300,-1.0049496e-11,950.0
-3200,-9.907598e-12,950.0
-3100,-9.81146e-12,950.0
-3000,-9.629886e-12,950.0
-2900,-9.457456e-12,950.0
-2800,-9.256036e-12,950.0
-2700,-9.191957999999999e-12,950.0
-2600,-8.976802e-12,950.0
-2500,-8.85016e-12,950.0
-2400,-8.635012000000002e-12,950.0
-2300,-8.523616e-12,950.0
-2200,-8.384768e-12,950.0
-2100,-8.169618e-12,950.0
-2000,-8.046018000000001e-12,950.0
-1900,-7.846130000000001e-12,950.0
-1800,-7.653836000000002e-12,950.0
-1700,-7.478364e-12,950.0
-1600,-7.273898000000001e-12,950.0
-1500,-7.179290000000001e-12,950.0
-1400,-6.889370000000001e-12,950.0
-1300,-6.72153e-12,950.0
-1200,-6.4529740000000004e-12,950.0
-1100,-6.124904000000001e-12,950.0
-1000,-5.863978e-12,950.0
-900,-5.697664000000001e-12,950.0
-800,-5.247532e-12,950.0
-700,-4.986608e-12,950.0
-600,-4.324366e-12,950.0
-500,-3.7292640000000005e-12,950.0
